time,V_C,I_L,V_IN
5.4e-05,-32.76597498359429,5.112780763551235,17.899434644606426
5.4499999999999997e-05,-22.03344455170984,6.693447832100018,29.785890720400815
5.4999999999999995e-05,-7.791711732810134,8.488906919938309,39.814725596955476
5.55e-05,9.047822195559437,9.462402475624641,49.75172793618035
5.6e-05,26.82155318868965,9.562059945501504,60.023967607234155
5.65e-05,44.192870500698646,9.251844792401897,72.71784182041898
5.6999999999999996e-05,60.993844667660554,8.6373352759204,82.23694861915602
5.7499999999999995e-05,76.04092220881702,7.639659103841957,87.55191962982278
5.8e-05,89.08007893251062,6.347153522665422,88.8854129123277
5.85e-05,99.65511422861007,5.191662151869236,84.62019877990113
5.9e-05,108.71668312928554,4.644059797776033,77.96740818061177
5.9499999999999996e-05,116.84137654272328,4.124913606804525,70.09170726530756
5.9999999999999995e-05,123.90329176875473,3.471592490084853,63.0629740066592
6.05e-05,129.62964026938786,2.698802989103838,58.463966252254096
6.1e-05,133.8707311285664,1.8752865339974463,58.73853837899148
6.149999999999999e-05,136.57978678637008,1.0589616799449844,61.24574134951449
6.2e-05,137.80762840028672,0.26795365735561183,61.887749185837805
6.25e-05,137.59549640319239,-0.49640394470432647,60.24510563153784
6.3e-05,135.98792562816797,-1.2300218040539623,58.378819948951374
6.35e-05,133.03527058290427,-1.9552980175554686,54.97251802145486
6.4e-05,128.7560321269607,-2.6591776092798254,55.49866237478615
6.45e-05,123.24909413568245,-3.2727377001757594,58.74602019402617
6.5e-05,116.68770409471483,-3.7967606201059727,59.93818459331543
6.549999999999999e-05,109.2434162628618,-4.236408524844647,57.616256828130375
6.599999999999999e-05,101.06243798316245,-4.594546572465406,57.19323388902042
6.65e-05,92.25468607223134,-4.902645887991483,57.62676682967526
6.7e-05,82.88936210999282,-5.195291568303833,59.338194863461865
6.75e-05,73.18257028967048,-5.244917838287588,57.51323783199232
6.8e-05,63.511125745596985,-5.157926254564866,53.6214143176845
6.85e-05,54.08853588435703,-5.030918898982585,49.730623327887365
6.9e-05,44.97079368162934,-4.814608875699221,45.981052357274706
6.95e-05,36.27369250216092,-4.568963085978877,41.94338418885235
7e-05,28.047670066091737,-4.315271252272718,38.73777682003645
7.049999999999999e-05,20.31192920460907,-4.047124135538853,33.81179969748549
7.099999999999999e-05,13.086382312627098,-3.75438679687491,28.637653631452856
7.15e-05,6.414392569764729,-3.4471984591829665,24.486492862926124
7.2e-05,0.321942690660304,-3.1288460765790873,22.284131835366303
7.25e-05,-5.158840334160164,-2.7890653868206057,21.390974158605367
7.3e-05,-9.976940516722063,-2.4127333620228035,17.72921606465016
7.35e-05,-14.096214234407949,-2.030598208979953,11.45280116154655
7.4e-05,-17.53770391577062,-1.6771251404257097,8.037694301222167
7.45e-05,-20.342545612888728,-1.3613059614512346,5.973569966836742
7.5e-05,-22.57124190146606,-1.0665358918401326,3.6184815008346667
7.549999999999999e-05,-24.26922228703581,-0.7663997733947004,4.455796691158575
7.599999999999999e-05,-25.390343421242733,-0.4403874585959895,6.789746294067344
7.65e-05,-25.891152648543144,-0.09593652184386656,11.283577816734828
7.7e-05,-25.715987143723808,0.291969871808611,16.916489356489322
7.75e-05,-24.793262538081827,0.7045675049617921,26.888562727965247
7.8e-05,-23.05296192131145,1.2013907562817518,39.83194169960492
7.85e-05,-20.28516036253223,1.795025491443888,51.64076368230524
7.9e-05,-16.324081798191294,2.5005749370756543,63.7559669219149
7.95e-05,-11.028566620290798,3.206062262487869,76.39136749086879
7.999999999999999e-05,-4.413380481584738,3.9476094977917753,89.48905432626617
8.049999999999999e-05,3.67205728010933,4.7871585942179875,99.3538379992607
8.099999999999999e-05,15.477813083126115,8.746751408475305,108.82491467654418
8.15e-05,36.25896573808991,13.286982410751689,117.98746470965139
8.2e-05,63.443565656304706,15.572102338327593,121.5306370523878
8.25e-05,92.36301231043237,15.23947711014536,119.54994073940802
8.3e-05,118.30708185342986,12.406786605949504,112.2939254521013
8.35e-05,137.38693595349093,8.169188718316796,104.28066165105136
8.4e-05,148.88703529286443,4.866880058798642,98.98478304533384
8.45e-05,157.1916012508041,4.111925708646862,97.39682473162858
8.499999999999999e-05,164.08546059834117,3.329111936803438,97.28830506052516
8.549999999999999e-05,169.515947834794,2.5350002290338374,99.33833626276709
8.599999999999999e-05,173.46982483270665,1.7321244643211882,97.64106606759265
8.65e-05,175.90240985272928,0.8888742965531242,91.45126473094487
8.7e-05,176.7392027900805,0.012608512055285875,84.89295847653332
8.75e-05,175.92554288174765,-0.9007811159259562,79.55038508075751
8.8e-05,173.39584739823187,-1.8260988168613028,73.55545928508893
8.85e-05,169.15388300269748,-2.7637372121096657,63.69284657436626
8.9e-05,163.14299629766253,-3.7202072273668074,52.96691866935418
8.95e-05,155.31985030898608,-4.729820737901321,41.087334006962834
8.999999999999999e-05,143.1869611120313,-9.625949845589439,31.575610347443025
9.049999999999999e-05,119.46722978833175,-15.461320797313952,23.80825395658517
9.099999999999999e-05,87.62479889547433,-18.445449953148312,14.971401894445531
9.15e-05,52.999514890999315,-18.449507958472577,5.19828334773416
9.2e-05,20.383453512455056,-16.58751185497419,-5.708673497722324
9.25e-05,-7.6719684060120805,-13.587146705489525,-15.210276965891014
9.3e-05,-29.61619418057638,-9.94504936687071,-21.90077125696799
9.35e-05,-44.77747998674627,-6.511151546973917,-28.831173831127973
9.4e-05,-54.963920674270994,-4.917195900742168,-34.37998853450735
